country,country_code,year,pw_capita,pw_total,lat,long
Mauritania,MRT,2019.0,0.028060097000000003,127,20.2540382,-9.2399263
Mauritius,MUS,2019.0,0.0,0,-20.2759451,57.5703566
Mexico,MEX,2019.0,0.027528689,3512,23.6585116,-102.0077097
Monaco,MCO,2019.0,0.0,0,43.7323492,7.4276832
Montenegro,MNE,2019.0,0.0,0,42.9868853,19.5180992
Morocco,MAR,2019.0,0.049352928,1800,31.1728205,-7.3362482
Mozambique,MOZ,2019.0,0.08377791,2544,-19.302233,34.9144977
Myanmar,MMR,2019.0,0.047071885,2544,17.1750495,95.9999652
Namibia,NAM,2019.0,0.000801603,2,-23.2335499,17.3231107
Netherlands,NLD,2019.0,0.015850734,271,52.2434979,5.6343227
New Zealand,NZL,2019.0,0.014217019,68,-41.5000831,172.8344077
Nicaragua,NIC,2019.0,0.223800794,1465,12.6090157,-85.2936911
Nigeria,NGA,2019.0,0.092752931,18640,9.6000359,7.9999721
North Korea,PRK,2019.0,0.0019481029999999999,50,40.3736611,127.0870417
Norway,NOR,2019.0,0.0,0,60.5000209,9.0999715
Oman,OMN,2019.0,0.000201005,1,21.0000287,57.0036901
Pakistan,PAK,2019.0,0.004031122,873,30.3308401,71.247499
Palau,PLW,2019.0,0.38888888899999996,7,5.3783537,132.9102573
Palestine,PSE,2019.0,0.023690022,118,31.462420950000002,34.262716572130714
Panama,PAN,2019.0,1.233396138,5237,8.559559,-81.1308434
Papua New Guinea,PNG,2019.0,0.348564266,3059,-5.6816069,144.2489081
Peru,PER,2019.0,0.007966779,259,-6.8699697,-75.0458515
Philippines,PHL,2019.0,3.296160641,356371,12.7503486,122.7312101
Poland,POL,2019.0,0.000765414,29,52.215933,19.134422
Portugal,PRT,2019.0,0.0074320359999999995,76,39.6621648,-8.1353519
Puerto Rico,PRI,2019.0,0.024207296,71,18.2247706,-66.4858295
Qatar,QAT,2019.0,0.0,0,25.3336984,51.2295295
Reunion,REU,2019.0,0.0,0,-21.130737949999997,55.536480112992315
Romania,ROU,2019.0,0.0041311640000000005,80,45.9852129,24.6859225
Russia,RUS,2019.0,0.003715586,542,64.6863136,97.7453061
Saint Kitts and Nevis,KNA,2019.0,0.018867925,1,17.250512,-62.6725973
Saint Lucia,LCA,2019.0,2.453551913,449,13.8250489,-60.975036
Saint Vincent and the Grenadines,VCT,2019.0,0.72972973,81,12.90447,-61.2765569
Samoa,WSM,2019.0,0.0,0,-13.7693895,-172.12005
Sao Tome and Principe,STP,2019.0,0.358139535,77,0.9713095,7.02255
Saudi Arabia,SAU,2019.0,8.75e-05,3,25.6242618,42.3528328
Senegal,SEN,2019.0,0.010370643,169,14.4750607,-14.4529612
Seychelles,SYC,2019.0,0.0,0,-4.6574977,55.4540146
Sierra Leone,SLE,2019.0,0.463842314,3624,8.6400349,-11.8400269
Singapore,SGP,2019.0,0.028256375,164,1.357107,103.8194992
Slovakia,SVK,2019.0,0.0,0,48.7411522,19.4528646
Slovenia,SVN,2019.0,0.005291005,11,45.8133113,14.4808369
Solomon Islands,SLB,2019.0,0.149253731,100,-8.7053941,159.1070693851845
Somalia,SOM,2019.0,0.000129509,2,8.3676771,49.083416
South Africa,ZAF,2019.0,0.07285084900000001,4266,-28.8166236,24.991639
South Korea,KOR,2019.0,0.007554905,387,36.638392,127.6961188
Spain,ESP,2019.0,0.005028136,235,39.3260685,-4.8379791
Sri Lanka,LKA,2019.0,0.45272931899999996,9654,7.5554942,80.7137847
Sudan,SDN,2019.0,0.002475883,106,14.5844444,29.4917691
Suriname,SUR,2019.0,2.8864027539999997,1677,4.1413025,-56.0771187
Sweden,SWE,2019.0,0.0035870859999999997,36,59.6749712,14.5208584
Syria,SYR,2019.0,0.0025776220000000003,44,34.6401861,39.0494106
Taiwan,TWN,2019.0,0.022335324,531,23.9739374,120.9820179
Tanzania,TZA,2019.0,0.09973278199999999,5785,-6.5247123,35.7878438
Thailand,THA,2019.0,0.327550053,22806,14.8971921,100.83273
Timor,TLS,2019.0,0.5529775720000001,715,-9.346017100000001,124.63707741045215
Togo,TGO,2019.0,0.053947043,436,8.7800265,1.0199765
Tonga,TON,2019.0,0.0,0,-19.9160819,-175.202642
Trinidad and Tobago,TTO,2019.0,2.549820789,3557,10.7466905,-61.0840075
Tunisia,TUN,2019.0,0.058828559,688,33.8439408,9.400138
Turkey,TUR,2019.0,0.17174877100000002,14329,38.9597594,34.9249653
Ukraine,UKR,2019.0,0.01952539,859,49.4871968,31.2718321
United Arab Emirates,ARE,2019.0,0.001432811,14,24.0002488,53.9994829
United Kingdom,GBR,2019.0,0.010410188,703,54.7023545,-3.2765753
United States,USA,2019.0,0.007387598,2431,39.7837304,-100.445882
Uruguay,URY,2019.0,0.288272675,998,-32.8755548,-56.0201525
Venezuela,VEN,2019.0,0.209987376,5988,8.0018709,-66.1109318
Vietnam,VNM,2019.0,0.29256080100000004,28221,15.9266657,107.9650855
Western Sahara,ESH,2019.0,0.065292096,38,24.16819605,-13.892143025000001
Yemen,YEM,2019.0,0.008641383,252,16.3471243,47.8915271
Zimbabwe,ZWE,2019.0,0.0,0,-18.4554963,29.7468414
